File Name,LCOM,CBO,RFC
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\PDGAbstractDataDependence.java,6,1,6
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\PDGAntiDependence.java,0,0,0
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\PDGBlockNode.java,2,5,5
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\PDGControlDependence.java,6,12,6
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\PDGControlPredicateNode.java,1,3,4
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\PDGDataDependence.java,0,5,0
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\PDGDependence.java,3,4,3
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\PDGDependenceType.java,0,0,0
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\PDGExitNode.java,1,3,1
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\PDGExpression.java,7,3,12
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\PDGMethodEntryNode.java,5,0,5
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\PDGNode.java,39,20,48
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\PDGObjectSliceUnion.java,32,7,47
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\PDGObjectSliceUnionCollection.java,1,2,1
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\PDGOutputDependence.java,0,1,0
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\PDGSlice.java,22,6,47
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\PDGSliceUnion.java,33,7,48
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\PDGSliceUnionCollection.java,1,2,1
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\PDGStatementNode.java,1,2,3
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\PDGSynchronizedNode.java,0,0,0
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\PDGTryNode.java,3,5,7
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\PlainVariable.java,6,11,6
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\ReachingAliasSet.java,8,0,8
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\CompositeStatementObject.java,30,12,30
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\ExpressionType.java,0,0,0
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\matching\ASTNodeDifference.java,15,13,23
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\matching\ASTNodeMatcher.java,54,19,112
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\matching\BindingSignature.java,9,1,9
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\matching\BindingSignaturePair.java,8,2,8
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\matching\BindingSignatureVisitor.java,9,0,38
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\matching\conditional\AbstractControlCase.java,7,1,7
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\matching\conditional\AbstractControlStructure.java,7,0,7
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\matching\conditional\AbstractControlStructureUtilities.java,4,1,8
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\matching\conditional\IfControlCase.java,2,0,2
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\matching\conditional\IfControlStructure.java,5,0,5
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\matching\conditional\Pair.java,7,0,7
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\matching\conditional\SwitchControlCase.java,2,0,5
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\matching\conditional\SwitchControlStructure.java,5,2,7
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\matching\conditional\TernaryControlStructure.java,9,0,9
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\matching\Difference.java,8,6,8
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\matching\DifferenceType.java,1,0,1
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\matching\FieldAccessReplacedWithGetterInvocationDifference.java,7,2,7
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\matching\FieldAssignmentReplacedWithSetterInvocationDifference.java,17,2,17
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\matching\loop\AbstractControlVariable.java,3,3,5
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\matching\loop\AbstractLoop.java,6,0,6
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\matching\loop\AbstractLoopBindingInformation.java,9,2,9
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\matching\loop\AbstractLoopUtilities.java,12,3,33
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\matching\loop\ConditionalLoop.java,6,5,13
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\matching\loop\ConditionalLoopASTNodeMatcher.java,3,2,5
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\matching\loop\ControlVariable.java,6,5,22
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\matching\loop\EarliestStartPositionComparator.java,1,0,1
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\matching\loop\EnhancedForLoop.java,5,3,7
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\matching\loop\VariableUpdater.java,3,2,3
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\matching\loop\VariableValue.java,5,1,5
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\matching\NodePair.java,2,0,2
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\matching\NodePairComparisonCache.java,12,1,12
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\MethodBodyObject.java,49,12,67
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\StatementObject.java,2,5,2
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\StatementType.java,3,0,3
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\SynchronizedStatementObject.java,0,1,0
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\TryStatementObject.java,13,9,15
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\delegation\DelegationDetection.java,2,1,3
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\delegation\DelegationPath.java,4,2,4
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\delegation\DelegationTree.java,3,2,8
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\EnumConstantDeclarationObject.java,10,1,10
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\FieldInstructionObject.java,11,10,11
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\FieldObject.java,19,15,20
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\IfStatementExpressionAnalyzer.java,23,1,24
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\Indexer.java,22,1,25
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\inheritance\CompleteInheritanceDetection.java,5,3,9
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\inheritance\InheritanceDetection.java,2,3,9
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\inheritance\InheritanceTree.java,7,7,8
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\inheritance\TypeBindingInheritanceDetection.java,3,2,10
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\LibraryClassStorage.java,2,1,2
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\LiteralObject.java,7,1,7
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\LiteralType.java,0,0,0
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\LocalVariableDeclarationObject.java,8,2,8
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\LocalVariableInstructionObject.java,10,3,10
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\MethodInvocationObject.java,2,9,2
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\MethodObject.java,78,31,100
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\metrics\ConnectivityMetric.java,2,3,12
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\metrics\LCOM.java,3,3,13
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\metrics\MMImportCoupling.java,3,4,10
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\ParameterObject.java,9,8,9
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\Standalone.java,4,10,24
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\SuperFieldInstructionObject.java,10,1,10
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\SuperMethodInvocationObject.java,2,2,2
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\SystemObject.java,29,21,76
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\TypeCheckCodeFragmentAnalyzer.java,1,3,30
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\TypeObject.java,11,11,11
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\TypeSearchRequestor.java,1,0,1
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\util\ExpressionExtractor.java,1,19,42
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\util\ExpressionInstanceChecker.java,1,0,1
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\util\InstanceOfArrayAccess.java,1,0,1
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\util\InstanceOfArrayCreation.java,1,0,1
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\util\InstanceOfAssignment.java,1,0,1
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\util\InstanceOfBranchingStatement.java,1,0,1
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\util\InstanceOfBreakStatement.java,1,0,1
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\util\InstanceOfCastExpression.java,1,0,1
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\util\InstanceOfClassInstanceCreation.java,1,0,1
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\util\InstanceOfConditionalExpression.java,1,0,1
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\util\InstanceOfConstructorInvocation.java,1,0,1
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\util\InstanceOfContinueStatement.java,1,0,1
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\util\InstanceOfDoStatement.java,1,0,1
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\util\InstanceOfEnhancedForStatement.java,1,0,1
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\util\InstanceOfExpression.java,1,0,1
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\util\InstanceOfFieldAccess.java,1,0,1
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\util\InstanceOfForStatement.java,1,0,1
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\util\InstanceOfIfStatement.java,1,0,1
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\util\InstanceOfInfixExpression.java,1,0,1
